neighbourhood_group,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Queens,Entire home/apt,130.0,30,1,45.0
Manhattan,Shared room,195.0,2,1,45.0
Brooklyn,Entire home/apt,175.0,3,2,365.0
Manhattan,Entire home/apt,150.0,1,1,45.0
Brooklyn,Entire home/apt,180.0,2,1,45.0
Brooklyn,Private room,75.0,3,1,45.0
Manhattan,Entire home/apt,195.0,1,1,45.0
Manhattan,Entire home/apt,170.0,1,1,45.0
Queens,Private room,100.0,2,1,365.0
Manhattan,Private room,80.0,1,1,45.0
Manhattan,Entire home/apt,195.0,365,1,45.0
Manhattan,Entire home/apt,70.0,7,1,45.0
Brooklyn,Entire home/apt,155.0,2,1,45.0
Brooklyn,Private room,70.0,90,1,264.0
Brooklyn,Entire home/apt,110.0,1,1,45.0
Manhattan,Entire home/apt,175.0,21,1,45.0
Brooklyn,Private room,135.0,1,1,45.0
Manhattan,Private room,95.0,1,1,45.0
Manhattan,Entire home/apt,119.0,1,1,45.0
Manhattan,Entire home/apt,248.0,6,1,45.0
Brooklyn,Private room,60.0,1,1,45.0
Queens,Private room,75.0,5,1,45.0
Brooklyn,Private room,100.0,20,6,214.0
Brooklyn,Entire home/apt,149.0,30,52,337.0
Manhattan,Entire home/apt,110.0,1,1,45.0
Manhattan,Entire home/apt,110.0,15,1,275.0
Brooklyn,Entire home/apt,330.0,10,1,45.0
Manhattan,Private room,65.0,3,1,45.0
Manhattan,Private room,90.0,3,1,45.0
Manhattan,Private room,125.0,1,2,45.0
Manhattan,Entire home/apt,370.0,1,1,365.0
Manhattan,Entire home/apt,90.0,2,1,45.0
Brooklyn,Private room,30.0,1,1,45.0
Queens,Entire home/apt,140.0,2,1,45.0
Manhattan,Entire home/apt,275.0,30,1,365.0
Brooklyn,Entire home/apt,100.0,2,1,45.0
Manhattan,Entire home/apt,175.0,1,1,347.0
Brooklyn,Private room,105.0,1,1,45.0
Brooklyn,Entire home/apt,60.0,1,1,45.0
Queens,Entire home/apt,150.0,1,1,45.0
Brooklyn,Private room,50.0,1,1,45.0
Queens,Private room,65.0,2,1,362.0
Manhattan,Private room,120.0,1,2,45.0
Queens,Entire home/apt,150.0,2,1,45.0
Brooklyn,Entire home/apt,250.0,5,1,45.0
Brooklyn,Entire home/apt,175.0,3,2,365.0
Brooklyn,Private room,60.0,7,2,45.0
Brooklyn,Entire home/apt,75.0,8,1,45.0
Manhattan,Entire home/apt,180.0,5,1,45.0
Manhattan,Entire home/apt,230.0,6,1,45.0
Brooklyn,Entire home/apt,175.0,2,1,45.0
Brooklyn,Private room,96.0,3,1,45.0
Manhattan,Private room,150.0,1,1,45.0
Manhattan,Entire home/apt,199.0,2,1,45.0
Brooklyn,Entire home/apt,115.0,5,1,45.0
Brooklyn,Entire home/apt,200.0,120,1,306.0
Manhattan,Entire home/apt,90.0,7,1,124.0
Manhattan,Entire home/apt,800.0,1,2,364.0
Brooklyn,Private room,45.0,2,2,36.0
Brooklyn,Private room,140.0,5,6,185.0
Brooklyn,Private room,75.0,2,1,312.0
Manhattan,Entire home/apt,150.0,30,52,342.0
Manhattan,Entire home/apt,170.0,5,1,45.0
Queens,Entire home/apt,140.0,2,1,45.0
Brooklyn,Private room,60.0,1,1,45.0
Brooklyn,Entire home/apt,115.0,20,1,45.0
Manhattan,Shared room,105.0,6,1,363.0
Brooklyn,Private room,40.0,15,1,45.0
Brooklyn,Private room,50.0,7,1,45.0
Brooklyn,Private room,75.0,1,1,45.0
Brooklyn,Entire home/apt,150.0,1,3,129.0
Brooklyn,Private room,60.0,1,1,45.0
Manhattan,Entire home/apt,115.0,1,1,45.0
Brooklyn,Entire home/apt,157.0,4,1,45.0
Brooklyn,Shared room,29.0,2,1,321.0
Brooklyn,Private room,35.0,6,1,45.0
Manhattan,Entire home/apt,300.0,1,1,45.0
Manhattan,Private room,95.0,7,2,365.0
Brooklyn,Entire home/apt,160.0,30,2,252.0
Brooklyn,Entire home/apt,190.0,4,1,45.0
Brooklyn,Private room,35.0,30,1,97.0
Brooklyn,Entire home/apt,180.0,2,1,45.0
Bronx,Private room,43.0,2,1,338.0
Brooklyn,Private room,50.0,2,2,157.0
Manhattan,Private room,65.0,1,1,45.0
Brooklyn,Entire home/apt,150.0,5,1,27.0
Brooklyn,Entire home/apt,115.0,1,1,45.0
Manhattan,Entire home/apt,250.0,1,1,45.0
Manhattan,Entire home/apt,99.0,30,1,45.0
Brooklyn,Entire home/apt,90.0,5,1,45.0
Manhattan,Private room,65.0,1,1,45.0
Manhattan,Private room,100.0,1,1,45.0
Brooklyn,Entire home/apt,295.0,9,2,1.0
Manhattan,Private room,130.0,1,1,45.0
Manhattan,Shared room,55.0,1,1,45.0
Brooklyn,Private room,80.0,7,1,45.0
Brooklyn,Private room,65.0,1,1,45.0
Brooklyn,Entire home/apt,150.0,2,1,45.0
Manhattan,Private room,130.0,7,1,45.0
Brooklyn,Private room,78.0,2,1,45.0
Brooklyn,Private room,65.0,7,1,45.0
Manhattan,Private room,109.0,2,1,45.0
Queens,Entire home/apt,65.0,1,1,45.0
Brooklyn,Private room,100.0,1,2,45.0
Brooklyn,Private room,55.0,2,1,189.0
Brooklyn,Private room,135.0,7,1,45.0
Brooklyn,Entire home/apt,82.0,1,1,45.0
Brooklyn,Private room,45.0,4,2,45.0
Manhattan,Entire home/apt,425.0,5,1,45.0
Brooklyn,Entire home/apt,70.0,1,1,45.0
Queens,Private room,70.0,3,2,45.0
Brooklyn,Entire home/apt,175.0,3,2,88.0
Brooklyn,Entire home/apt,195.0,2,1,45.0
Manhattan,Private room,65.0,1,1,45.0
Manhattan,Private room,150.0,3,1,45.0
Manhattan,Private room,90.0,2,3,177.0
Manhattan,Entire home/apt,235.0,3,1,45.0
Manhattan,Entire home/apt,245.0,2,1,45.0
Manhattan,Entire home/apt,440.0,3,1,70.0
Brooklyn,Entire home/apt,90.0,1,1,45.0
Brooklyn,Entire home/apt,500.0,1,1,365.0
